date,open,high,low,close,Volume USD
20/10/2024 7:00,68378.9,68405,68348.94,68364.1,19706.69768
20/10/2024 6:00,68201.29,68385.72,68162.01,68378.9,61917.52132
20/10/2024 5:00,68209.51,68276.47,68176.84,68201.29,17348.38874
20/10/2024 4:00,68176.67,68281.67,68162.75,68209.51,45185.03316
20/10/2024 3:00,68154.38,68181.67,68094.27,68176.67,71725.35089
20/10/2024 2:00,68142.07,68208.39,68097.14,68154.38,894925.1873
20/10/2024 1:00,68222.48,68237.47,68142.07,68142.07,51912.2071
20/10/2024 0:00,68364.38,68424.99,68213.34,68222.48,32724.65493
19/10/2024 23:00,68329.03,68404.82,68294.1,68364.38,281117.8588
19/10/2024 22:00,68232.29,68401.32,68201.12,68329.03,177607.5575
19/10/2024 21:00,68228.72,68313.98,68228.72,68232.29,186531.0354
19/10/2024 20:00,68178.08,68260.8,68148.12,68228.72,93031.83699
19/10/2024 19:00,68180.27,68223.85,68132.2,68178.08,59452.4182
19/10/2024 18:00,68107.13,68194.6,68097.53,68180.27,108284.4857
19/10/2024 17:00,68035.43,68124.57,68021.6,68107.13,94941.86501
19/10/2024 16:00,68165,68234.6,68035.43,68035.43,142820.6611
19/10/2024 15:00,68287.61,68327.33,68159.94,68165,493080.1947
19/10/2024 14:00,68105.48,68333.88,68105.48,68287.61,167969.1669
19/10/2024 13:00,68211.08,68214.39,68104.03,68105.48,101032.7225
19/10/2024 12:00,68097.41,68240.63,68085.58,68211.08,76549.71605
19/10/2024 11:00,68241.46,68284.34,68097.41,68097.41,660816.1696
19/10/2024 10:00,68357.32,68357.32,68241.44,68241.46,52660.17132
19/10/2024 9:00,68401.84,68425.2,68357.29,68357.32,92665.54324
19/10/2024 8:00,68323.71,68444.26,68323.71,68401.84,30301.08896
19/10/2024 7:00,68342.72,68388.93,68309.29,68323.71,19263.94519
19/10/2024 6:00,68360.46,68410.77,68336.64,68342.72,56913.81341
19/10/2024 5:00,68328.17,68422.01,68324.43,68360.46,279479.8159
19/10/2024 4:00,68457.73,68545.79,68328.17,68328.17,56169.48714
19/10/2024 3:00,68392.49,68662.29,68392.49,68457.73,192279.4833
19/10/2024 2:00,68269.57,68409.8,68228.02,68392.49,224386.4125
19/10/2024 1:00,68320.4,68433.7,68250,68269.57,687934.0139
19/10/2024 0:00,68416.32,68457.4,68300.11,68320.4,369547.2667
18/10/2024 23:00,68201.01,68462.85,68201.01,68416.32,508989.4207
18/10/2024 22:00,68386.61,68404.82,68201.01,68201.01,621204.3376
18/10/2024 21:00,68411.45,68485.3,68237.56,68386.61,1240500.002
18/10/2024 20:00,68620.77,68692.98,68383.2,68411.45,1491359.335
18/10/2024 19:00,68933.8,69002.77,68516.64,68620.77,5382584.003
18/10/2024 18:00,68730.02,69011.75,68541.28,68933.8,5588849.136
18/10/2024 17:00,68793.32,68908.33,68662.72,68730.02,3554987.597
18/10/2024 16:00,68718.73,68900,68352.26,68793.32,2246719.789
18/10/2024 15:00,68400.9,68850.78,68266.7,68718.73,2620836.852
18/10/2024 14:00,68109.99,68548.97,67889.13,68400.9,6385464.169
18/10/2024 13:00,67646.68,68120,67633.12,68109.99,5042865.418
18/10/2024 12:00,67639.88,67794.45,67614,67646.68,5419093.153
18/10/2024 11:00,67862.66,68012.14,67484.57,67639.88,2607749.447
18/10/2024 10:00,67775.53,67924.61,67745.29,67862.66,1806630.84
18/10/2024 9:00,67897.98,68014.47,67736.89,67775.53,433659.0536
18/10/2024 8:00,67943.9,68024.35,67811.59,67897.98,539319.8176
18/10/2024 7:00,68063.1,68155.36,67858.66,67943.9,793165.3363
18/10/2024 6:00,67947.99,68300,67902.9,68063.1,1452184.793
18/10/2024 5:00,67703.61,67948,67620.27,67947.99,3677660.283
18/10/2024 4:00,67522.12,67844.69,67522.12,67703.61,644505.2141
18/10/2024 3:00,68058.55,68080.82,67481.22,67522.12,1969519.234
18/10/2024 2:00,68026.45,68097.69,67785.85,68058.55,976469.8957
18/10/2024 1:00,67175,68199.99,67175,68026.45,3696799.745
18/10/2024 0:00,67407.41,67431.94,67155.03,67175,769699.7182
17/10/2024 23:00,67417.5,67467.17,67265.06,67407.41,1164746.311
17/10/2024 22:00,67067.13,67454.4,67067.13,67417.5,857778.4246
17/10/2024 21:00,66920.05,67179.92,66906.06,67067.13,1247414.571
17/10/2024 20:00,66796.93,67122.31,66796.93,66920.05,2266145.17
17/10/2024 19:00,66935.84,66998.89,66760.33,66796.93,3013033.283
17/10/2024 18:00,67275.12,67286.87,66688.1,66935.84,4976624.748
17/10/2024 17:00,67366.97,67514.84,67131,67275.12,2135797.242
17/10/2024 16:00,67558.38,67573.45,67077.54,67366.97,3630526.081
17/10/2024 15:00,67089.06,67631.52,66900,67558.38,3819407.492
17/10/2024 14:00,66950.13,67254.33,66618.22,67089.06,3989062.963
17/10/2024 13:00,67123.5,67298.34,66587,66950.13,6432655.329
17/10/2024 12:00,66868.19,67169.45,66777.81,67123.5,1715271.393
17/10/2024 11:00,67184.76,67249.92,66788.08,66868.19,1532606.636
17/10/2024 10:00,67171.75,67283.41,66801.29,67184.76,1956235.26
17/10/2024 9:00,67439.66,67481.32,67171.75,67171.75,1098475.934
17/10/2024 8:00,67270.89,67453.97,67180.42,67439.66,1128942.75
17/10/2024 7:00,67105.28,67292.34,67043.62,67270.89,499063.3912
17/10/2024 6:00,67324.61,67475.78,67105.28,67105.28,603488.9648
17/10/2024 5:00,67251.68,67455,67240.31,67324.61,415980.2072
17/10/2024 4:00,67590.33,67590.33,67240.3,67251.68,907991.788
17/10/2024 3:00,67438.37,67669.17,67405.96,67590.33,344400.1656
17/10/2024 2:00,67886.26,67886.26,67387.81,67438.37,1852540.044
17/10/2024 1:00,67678.44,67886.26,67405.8,67886.26,1982743.793
17/10/2024 0:00,67628.15,67923.25,67577.86,67678.44,336771.6303
16/10/2024 23:00,67771.84,67801.8,67590.17,67628.15,813356.6963
16/10/2024 22:00,67578.47,67840.07,67547.77,67771.84,1553657.869
16/10/2024 21:00,67598.23,67664.81,67479.06,67578.47,2330811.291
16/10/2024 20:00,67729.36,67954.13,67598,67598.23,1727916.48
16/10/2024 19:00,67823.75,67950,67600.25,67729.36,4711623.115
16/10/2024 18:00,67952.46,68072.97,67777.18,67823.75,3839699.056
16/10/2024 17:00,67817.16,68101,67673.3,67952.46,4891184.345
16/10/2024 16:00,67752.27,67934.17,67473.27,67817.16,7820090.925
16/10/2024 15:00,67679.39,68059.89,67380.22,67752.27,7462561.328
16/10/2024 14:00,67372.26,68298.27,67317.72,67679.39,8405921.626
16/10/2024 13:00,67817.36,67943.73,67088.46,67372.26,7916499.057
16/10/2024 12:00,67909.17,68052,67663.83,67817.36,1836529.121
16/10/2024 11:00,67720,68446.96,67608.35,67909.17,4196702.182
16/10/2024 10:00,67401.76,67765,67334.37,67720,930593.1858
16/10/2024 9:00,67113.82,67460.05,67067.32,67401.76,1166782.142
16/10/2024 8:00,66945.37,67251.88,66907.94,67113.82,1169785.295
16/10/2024 7:00,67045.6,67045.6,66767.89,66945.37,902722.6721
16/10/2024 6:00,67256,67303.49,66999.7,67045.6,814001.29
16/10/2024 5:00,66998.67,67351.39,66931.87,67256,1851649.292
16/10/2024 4:00,67075,67229.2,66886.17,66998.67,1059907.566
16/10/2024 3:00,67250.42,67271.34,67065.63,67075,1526563.269
16/10/2024 2:00,67358.59,67535.7,67231.34,67250.42,1453103.797
16/10/2024 1:00,66862.32,67499,66742.31,67358.59,1576501.189
16/10/2024 0:00,67064.29,67117.9,66777.88,66862.32,467721.8774
15/10/2024 23:00,66731.93,67142.57,66664.99,67064.29,2663772.296
15/10/2024 22:00,66420.08,66969,66396.82,66731.93,1834824.246
15/10/2024 21:00,66491.22,66600.63,66147,66420.08,1840089.783
15/10/2024 20:00,66982.25,67013.09,66396.25,66491.22,2286414.526
15/10/2024 19:00,66877.5,67061.5,66516.21,66982.25,7155097.154
15/10/2024 18:00,66783,67370.46,66742.96,66877.5,8803438.928
15/10/2024 17:00,66851.4,67044.8,66495.27,66783,3587842.275
15/10/2024 16:00,65993.54,67192.06,65962.78,66851.4,8767010.067
15/10/2024 15:00,65343.36,66325.82,64759,65993.54,8759016.126
15/10/2024 14:00,67613.73,67775,65115.39,65343.36,7785477.836
